Thumb,IndexFinger,MiddleFinger,RingFinger,LittleFinger,accelerometer_x,accelerometer_y,accelerometer_z,temperature,gyro_x,gyro_y,gyro_z,Gesture
360,301,357,265,334,13256,10188,-1524,26.84,-591,-209,191,0
360,302,349,265,334,13368,10228,-1664,26.88,-606,-267,59,0
359,302,347,265,334,13120,10384,-1460,26.88,-278,443,-404,0
359,302,360,266,334,13336,10668,-1316,26.88,-659,-251,28,0
359,302,363,265,335,13156,10380,-1460,26.98,-712,-169,-60,0
359,302,364,266,335,13152,10552,-1140,26.93,-805,-349,289,0
359,303,364,266,335,13292,10148,-1496,26.93,-638,-43,-487,0
358,303,364,266,335,13376,10436,-1512,26.93,-838,-450,11,0
357,303,364,266,335,13256,10380,-1428,26.93,-691,-206,110,0
355,300,365,267,331,14636,10156,452,26.93,1776,10976,4456,0
359,298,362,265,330,12684,9932,2120,26.88,333,-2752,-217,0
359,301,365,271,329,12564,11480,1004,26.98,96,-1090,1118,0
359,304,365,271,329,12272,11196,1792,26.98,-633,-498,-48,0
359,304,366,271,330,12200,11588,2144,26.93,-641,-188,-27,0
357,302,365,268,328,13596,10008,280,26.88,3372,-372,2393,0
354,300,365,269,328,14928,8632,512,26.84,-1297,-582,-754,0
355,300,365,269,329,14604,8092,1084,26.88,-1356,934,-969,0
355,300,365,269,329,14468,8972,1516,26.88,-894,-501,102,0
355,300,365,269,328,14588,9404,1584,26.79,-540,-129,43,0
355,301,365,270,329,14684,8768,1480,26.98,-600,-242,117,0
355,301,365,269,329,14912,8592,1440,26.98,-769,-279,117,0
355,301,366,270,328,14436,8776,1556,26.88,-653,117,-397,0
355,301,366,270,328,14936,8604,1168,26.93,-483,-214,-57,0
356,301,366,270,328,14648,8208,1592,26.93,-412,92,431,0
356,302,366,270,328,14904,8556,1336,26.88,-560,-225,98,0
356,303,366,270,328,14576,8468,1036,26.84,-1228,107,-1305,0
356,303,366,270,328,14552,7896,88,26.93,-570,-452,32,0
356,304,364,270,329,15008,8844,464,26.88,-276,-321,-22,0
335,303,363,270,330,14628,9360,-972,26.88,402,-301,-770,0
331,298,355,271,329,14188,9504,-1532,26.88,-911,747,-1075,0
349,303,336,271,330,13688,9584,-460,26.93,-818,-276,-97,0
349,303,341,271,330,13604,10156,-392,26.98,-629,-68,107,0
350,304,364,271,330,13672,9560,-564,26.79,-756,-463,154,0
350,303,362,271,330,13784,9076,-1012,26.88,-1414,-386,-108,0
351,303,366,271,330,13876,9776,-808,26.98,-557,215,-411,0
351,303,344,271,331,14600,9572,-1012,26.93,-1307,-940,541,0
350,304,357,271,330,12872,10260,1340,26.93,244,352,-989,0
349,304,365,272,330,13344,9968,1252,26.88,-622,-36,-455,0
349,304,356,272,331,13760,10108,1232,26.88,-68,215,859,0
349,304,365,271,331,14744,8572,448,26.88,-791,-405,554,0
350,305,366,271,331,14896,9076,-360,26.79,-1042,-1022,1996,0
350,305,367,272,331,14984,7772,272,26.88,-964,-142,-539,0
349,305,367,271,331,15232,8268,-544,26.88,-488,150,11,0
348,305,367,272,331,14576,8700,4,26.79,-247,457,-11,0
347,305,367,272,331,14500,8676,76,26.84,-712,-175,44,0
360,306,367,272,331,14976,8796,-52,26.74,-819,-165,-439,0
360,306,367,272,331,14524,8608,36,26.79,-784,-131,-250,0
360,306,367,272,331,14336,8828,532,26.79,-716,-24,-23,0
360,306,367,272,331,14352,9036,392,26.88,-717,-434,621,0
360,306,367,273,331,14492,9056,116,26.84,-720,-343,489,0
359,305,367,273,331,14876,8708,36,26.74,-590,-155,63,0
360,305,367,273,331,14504,8916,428,26.65,-777,-73,-152,0
360,305,367,273,330,14620,8396,324,26.84,-918,-21,-433,0
447,411,474,403,442,-12332,2312,10036,27.73,-669,-192,-29,0
446,412,474,402,442,-11416,1784,9988,27.73,-772,-298,-84,0
446,427,475,411,442,-12228,1480,10196,27.78,-698,-428,47,0
370,296,397,321,382,-4612,9304,13996,27.78,-1942,-3472,2566,0
338,323,391,317,385,-2656,6536,15524,27.64,-720,-395,-65,0
360,331,396,321,386,-3064,6328,15452,27.73,-912,-106,734,0
380,292,389,308,329,-2248,11584,11832,27.78,4608,512,2636,0
413,322,410,356,335,-496,17672,7116,27.68,-5817,-1494,-3952,0
411,319,404,349,339,196,12180,12320,27.64,-3451,-2033,2143,0
310,244,318,226,216,4540,12320,9116,27.78,-3434,-1327,-1644,0
341,299,301,207,219,7388,12660,8748,27.78,-448,-90,543,0
339,297,306,214,224,9972,11636,6676,27.78,-774,-1072,-473,0
350,302,314,223,232,7700,11648,8052,27.73,2528,-784,316,0
352,291,340,249,253,6648,13016,8748,27.73,-1258,-675,-155,0
362,297,355,272,314,11072,5972,14072,27.73,-2305,-3057,-1303,0
343,303,350,267,270,11808,888,12164,27.73,9229,496,4123,0
331,301,337,232,264,10884,8224,11044,27.73,-1214,1169,466,0
335,305,339,236,263,10672,6820,11948,27.82,-3721,-438,-125,0
325,300,338,233,262,11264,9540,8824,27.87,-1312,1169,-259,0
342,311,343,246,269,7848,2744,15524,27.73,-1020,-517,-317,0
351,314,354,256,280,8464,2544,15168,27.78,-107,-19,416,0
342,310,354,258,276,8564,2404,15384,27.82,-1132,-331,-309,0
329,310,352,260,276,8992,2344,15108,27.78,-654,-303,22,0
328,313,357,265,283,9212,1812,14976,27.87,-651,-260,241,0
330,312,356,266,284,8960,1948,15128,27.82,-867,-143,-27,0
332,312,356,266,284,9164,1820,14860,27.87,-614,-281,-50,0
332,312,356,267,285,8988,1996,15092,27.92,-417,-81,-81,0
332,313,357,267,284,9008,1808,15064,27.92,-556,84,-146,0
335,316,358,268,285,8648,2868,15172,27.97,-981,-266,-48,0
336,316,358,268,286,8792,2240,15116,27.97,-669,-275,-59,0
336,316,358,269,286,8684,2356,15192,27.92,-732,9,-120,0
337,317,358,270,287,9100,2364,14968,27.92,-522,-243,-62,0
341,319,361,272,290,8776,2572,15628,27.97,-1001,-784,-454,0
341,320,361,273,291,8984,2492,15060,28.01,-619,453,62,0
340,320,361,273,292,9304,2636,15076,27.97,-339,-277,-170,0
340,320,361,273,292,9636,2828,14688,28.06,-694,-190,-84,0
341,320,361,273,292,9676,2900,14636,28.01,-635,-25,-143,0
341,320,362,274,292,9220,2828,14912,28.11,-764,-255,-56,0
341,321,362,274,293,9652,3000,14524,28.01,-559,84,121,0
341,321,362,274,293,8852,2972,15196,28.11,-390,-442,118,0
341,321,362,274,293,8288,3492,15584,27.97,-269,-866,-60,0
341,321,362,274,293,9088,3132,14080,28.06,-1633,2312,-682,0
341,321,363,273,293,6792,1996,15956,28.15,-1119,1775,-29,0
341,321,363,273,293,5560,2020,16620,28.11,-625,-654,131,0
341,322,363,274,294,6344,2692,15836,28.15,-688,-68,-792,0
341,322,364,274,294,6380,2964,16116,28.15,-868,-343,31,0
341,322,364,274,294,5972,2524,16520,28.2,-223,-360,-281,0
341,323,364,275,294,6236,2260,16480,28.2,-683,-170,35,0
342,323,364,275,295,5936,2408,16784,28.2,-532,-423,32,0
342,323,364,275,295,6548,2744,15964,28.2,-805,-235,168,0
342,324,365,275,296,6208,2408,16576,28.25,-767,-22,-342,0
342,323,364,275,296,5972,2460,16360,28.29,-380,-625,-289,0
342,323,365,275,296,5188,1948,16812,28.34,-1131,99,-106,0
343,324,365,275,296,5660,2328,16460,28.39,-798,541,271,0
